Comparison,Metric,Statistic,p_value,Significant,Mean_1,Mean_2,Cohens_d
ANOVA (all origins),TotalScore,409.4600942445144,2.396672566883e-312,True,,,
Brazil vs Colombia,TotalScore,-19.50880328792889,1.2525404185098064e-78,True,42.93425663716814,43.90693333333333,-0.8092308494145453
Brazil vs Ethiopia,TotalScore,-36.88600870274007,7.130713844846542e-237,True,42.93425663716814,44.790853846153844,-1.5051056627537003
Brazil vs Guatemala,TotalScore,-11.15942310445971,3.405647285185746e-28,True,42.93425663716814,43.50015584415584,-0.46708654986598624
Brazil vs Kenya,TotalScore,-28.221107911100006,4.3821176258555533e-151,True,42.93425663716814,44.32917695473252,-1.1670453001612853
Colombia vs Ethiopia,TotalScore,-17.51244920297948,7.376354630081549e-65,True,43.90693333333333,44.790853846153844,-0.7017384279248416
Colombia vs Guatemala,TotalScore,7.971702452072595,2.4172463060519096e-15,True,43.90693333333333,43.50015584415584,0.3285506334020956
Colombia vs Kenya,TotalScore,-8.489274577602723,3.576125016141641e-17,True,43.90693333333333,44.32917695473252,-0.34549027732751736
Ethiopia vs Guatemala,TotalScore,25.133658912169683,3.1257456955385473e-124,True,44.790853846153844,43.50015584415584,1.0172950890690426
Ethiopia vs Kenya,TotalScore,9.223001460422042,5.938492068134927e-20,True,44.790853846153844,44.32917695473252,0.3683967337643339
Guatemala vs Kenya,TotalScore,-16.385206634175283,3.0555007709896685e-57,True,43.50015584415584,44.32917695473252,-0.6731388717845878
